OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength
5469,191204,1912.04,2164407.54120065,5918.99761392174
5470,191301,1913.01,2944230.5281534,8542.86419285152
5471,191302,1913.02,4547375.21101323,9355.99882224449
5472,191410,1914.10,3351636.21582932,7438.63777729178
5473,191420,1914.20,2445268.56641392,6614.9735330993
5474,191500,1915.00,6903622.39659152,10328.4442932262
5475,191610,1916.10,4498406.67593039,9410.9985929796
5476,191620,1916.20,2463246.37542445,7019.86987594394
5477,191710,1917.10,7627441.7695562,13209.0297784419
5478,191720,1917.20,2845123.18724812,6946.3164452536
5479,191810,1918.10,4351163.39016488,9234.50026365538
5480,191820,1918.20,4356427.20804947,9240.10092946224
5481,191901,1919.01,8322072.656781,11883.4394396104
5482,191902,1919.02,7817628.4517456,11569.81203127
5483,192001,1920.01,5713104.830004,11592.717776332
5484,192002,1920.02,9238710.08134197,12815.3562768045
5485,192300,1923.00,9466568.28148943,12502.5058841099
5486,192410,1924.10,7361268.92074946,10853.9414345617
5487,192420,1924.20,3497148.74982676,7935.45454485915
5488,192510,1925.10,3667687.05943493,8117.77867415808
5489,192520,1925.20,3313098.50278883,7806.68124677529
5490,192610,1926.10,4471291.15316982,9148.6568739816
5491,192620,1926.20,2621589.80874583,7268.93645380325
5492,192700,1927.00,5717757.34044478,9614.05432193623
5493,194101,1941.01,27368995.7068681,33899.9523158803
5494,194102,1941.02,37710234.8747353,38288.1554985049
5495,194200,1942.00,28019872.2103679,29548.0837701317
5496,194300,1943.00,26597779.0741502,35303.6369727301
5497,194401,1944.01,5013242.00918371,9747.51861094085
5498,194402,1944.02,6341559.9355006,14496.2936289732
5499,194500,1945.00,7376766.35971799,14978.2278160913
5500,195100,1951.00,20400873.4272355,21728.6769876253
5501,195201,1952.01,6466990.21042653,13793.8573232646
5502,195202,1952.02,9450220.006631,14520.094325257
5503,195300,1953.00,6246653.32218571,11071.7029681164
5504,195400,1954.00,11090253.810661,17054.023235692
5505,195500,1955.00,13080072.1899043,19969.4341670303
5506,195600,1956.00,5678700.8071497,11167.7870602219
